Key,ShortKey,Source,Row,Module,Field,Role,CN,KR
AvgCommunicate_67012_Content_2,acgW,avg通讯器聊天表_AvgCommunicate_A_M.csv,759,AvgCommunicate,Content,玩家,怎么了？,무슨 일인데?
AvgCommunicate_67012_Content_3,acgX,avg通讯器聊天表_AvgCommunicate_A_M.csv,760,AvgCommunicate,Content,艾继丝,嗯……就是，如果你什么时候会经过市区，刚好有时间、又顺路的话，能不能帮我带一些新的线团回来呢？,"음…… 그, 혹시 시내에 가실 일이 있고, 시간도 있으시다면 실을 새로 사다 주실 수 있나요?"
AvgCommunicate_67012_Content_4,acgY,avg通讯器聊天表_AvgCommunicate_A_M.csv,761,AvgCommunicate,Content,艾继丝,我想要修补一下娃娃，还有裙子和大家的衣服，詹金的斗篷也有些旧了……,"인형도 고치고, 제 치마와 모두의 옷을 고치고 싶어요. 젠킨의 망토도 좀 낡은 것 같아요..."
AvgCommunicate_67012_Option_5,achl,avg通讯器聊天表_AvgCommunicate_A_M.csv,762,AvgCommunicate,Option,玩家,是线团不够了吗？我会记住的，你想要什么颜色的？,실이 부족해? 알겠어. 무슨 색으로 사올까?
AvgCommunicate_67012_Content_5,acgZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,762,AvgCommunicate,Content,玩家,是线团不够了吗？我会记住的，你想要什么颜色的？,실이 부족해? 알겠어. 무슨 색으로 사올까?
AvgCommunicate_67012_Content_6,acha,avg通讯器聊天表_AvgCommunicate_A_M.csv,763,AvgCommunicate,Content,玩家,或者我带你去商店买些新衣服吧！叫上詹金和莉莉一起。,아니면 내가 너를 데리고 가게로 가서 아예 새 옷을 몇 벌 사는 게 어때? 젠킨과 릴리를 불러서 같이 가자.
AvgCommunicate_67012_Content_7,achb,avg通讯器聊天表_AvgCommunicate_A_M.csv,764,AvgCommunicate,Content,艾继丝,不，不用了！我的衣服都还能穿呢，那太浪费了……,"괘, 괜찮아요! 지금 옷은 아직 입고 다닐 수 있어요. 그건 너무 낭비일 거예요… "
AvgCommunicate_67012_Option_8,acho,avg通讯器聊天表_AvgCommunicate_A_M.csv,765,AvgCommunicate,Option,玩家,怎么会浪费呢？,그게 왜 낭비야?
AvgCommunicate_67012_Content_8,achc,avg通讯器聊天表_AvgCommunicate_A_M.csv,765,AvgCommunicate,Content,玩家,怎么会浪费呢？艾继丝，你不用这样小心，我们都很乐意满足你的愿望。,"그게 왜 낭비야? 아이기스, 그렇게까지 아낄 필요 없어. 우리는 네 소원이라면 뭐든지 기꺼이 들어줄 거야."
AvgCommunicate_67012_Content_9,achd,avg通讯器聊天表_AvgCommunicate_A_M.csv,766,AvgCommunicate,Content,玩家,弥萨格的日常经费也很足够，没有人会再丢下你了，知道吗？,"미사그에서 매일 받는 경비도 충분하고, 이제는 너를 버리는 사람도 없어. 알겠지?"
AvgCommunicate_67012_Content_10,acgT,avg通讯器聊天表_AvgCommunicate_A_M.csv,767,AvgCommunicate,Content,艾继丝,嗯……谢谢守密人%brotherorsister1%，但我还是想亲手给大家缝好衣服！,"네... 감사해요, 수호자 {Male=오빠, Female=언니}. 하지만 저는 모두를 위해 직접 옷을 만들어주고 싶어요!"
AvgCommunicate_67012_Option_11,achg,avg通讯器聊天表_AvgCommunicate_A_M.csv,768,AvgCommunicate,Option,玩家,好。,그래.
AvgCommunicate_67012_Content_11,acgU,avg通讯器聊天表_AvgCommunicate_A_M.csv,768,AvgCommunicate,Content,玩家,好，那我就把每个颜色的线团都买些回来，再买一些布料和丝带怎么样？,"그래, 그러면 색깔별로 실을 다양하게 사올게. 천과 리본도 같이 살까?"
AvgCommunicate_67012_Content_12,acgV,avg通讯器聊天表_AvgCommunicate_A_M.csv,769,AvgCommunicate,Content,艾继丝,嗯！,응!
AvgCommunicate_66999_Content_1,abZK,avg通讯器聊天表_AvgCommunicate_A_M.csv,1115,AvgCommunicate,Content,哈姆林,%player%%sirormadam%，我刚才受校方邀请，帮弥萨格录制了上课和下课时播放的音乐。,"%player% {Male=씨, Female=양}, 방금 학교의 요청으로 수업 종에 사용할 음악을 녹음했습니다."
AvgCommunicate_66999_Content_2,abZQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1116,AvgCommunicate,Content,哈姆林,录音时朵尔教授还提到，校方制作出了一款新型的录音机，体型小巧，音质细腻，甚至可以在出任务时随身携带，有录音和播放的功能。,"녹음하던 중, 돌 교수님이 학교에서 새로 개발한 휴대용 녹음기를 언급하시더군요. 작고 음질이 섬세하며, 임무 중에도 휴대할 수 있고 녹음과 재생 기능을 갖췄다고 하셨습니다."
AvgCommunicate_66999_Content_3,abZR,avg通讯器聊天表_AvgCommunicate_A_M.csv,1117,AvgCommunicate,Content,哈姆林,我看到后就想到了你，如果需要的话，我可以为你录制你想听的乐曲。,그 녹음기를 보니 수호자님이 떠올랐습니다. 원하신다면 수호자님께서 듣고 싶으신 곡을 녹음해 드리겠습니다.
AvgCommunicate_66999_Content_4,abZS,avg通讯器聊天表_AvgCommunicate_A_M.csv,1118,AvgCommunicate,Content,哈姆林,这样即使有时我不在你的身边，也不会担心没有音乐来抚慰你的灵魂。,이렇게 하면 제가 곁에 없을 때도 당신의 영혼을 위로할 음악이 부족할까 염려하지 않으셔도 됩니다.
AvgCommunicate_66999_Option_5,acah,avg通讯器聊天表_AvgCommunicate_A_M.csv,1119,AvgCommunicate,Option,玩家,哈姆林……我好感动！,하멜른…… 정말 감동이야!
AvgCommunicate_66999_Content_5,abZT,avg通讯器聊天表_AvgCommunicate_A_M.csv,1119,AvgCommunicate,Content,玩家,哈姆林……我好感动！,하멜른…… 정말 감동이야!
AvgCommunicate_66999_Content_6,abZU,avg通讯器聊天表_AvgCommunicate_A_M.csv,1120,AvgCommunicate,Content,哈姆林,这都是我应尽的职责，那么，有什么想听的吗？,당연히 제가 해야 할 일입니다. 듣고 싶은 음악이 있으신가요?
AvgCommunicate_66999_Content_7,abZV,avg通讯器聊天表_AvgCommunicate_A_M.csv,1121,AvgCommunicate,Content,玩家,说起来，每次听你吹奏摇篮曲的时候，我都会睡得很好。,"생각해 보니, 네가 부르는 자장가를 들을 때마다 잠이 잘 왔어."
AvgCommunicate_66999_Content_8,abZW,avg通讯器聊天表_AvgCommunicate_A_M.csv,1122,AvgCommunicate,Content,玩家,这首曲子有什么特别的吗？,그 곡에 뭔가 특별한 점이라도 있는 걸까?
AvgCommunicate_66999_Content_9,abZX,avg通讯器聊天表_AvgCommunicate_A_M.csv,1123,AvgCommunicate,Content,哈姆林,要这一首吗？我明白了。,그 곡을 원하십니까? 알겠습니다.
AvgCommunicate_66999_Content_10,abZL,avg通讯器聊天表_AvgCommunicate_A_M.csv,1124,AvgCommunicate,Content,哈姆林,如果非要说特别之处，大概是充满了我守护你的心情吧。,특별한 점이라면... 아마도 당신을 지키고 싶은 마음이 가득 담겨 있어서일 겁니다.
AvgCommunicate_66999_Option_11,acaa,avg通讯器聊天表_AvgCommunicate_A_M.csv,1125,AvgCommunicate,Option,玩家,帮助起床的音乐,아침 기상을 돕는 음악
AvgCommunicate_66999_Content_11,abZM,avg通讯器聊天表_AvgCommunicate_A_M.csv,1125,AvgCommunicate,Content,玩家,其实我一直都有点起床困难，如果有那种令人振奋的音乐，起床应该会容易一些吧！,사실 매일 아침 일어나는 게 너무 힘들어. 기운이 나는 음악이 있다면 도움이 될 것 같아.
AvgCommunicate_66999_Content_12,abZN,avg通讯器聊天表_AvgCommunicate_A_M.csv,1126,AvgCommunicate,Content,哈姆林,令人振奋吗？我明白了。,기운이 나는 음악? 알겠습니다.
AvgCommunicate_66999_Content_13,abZO,avg通讯器聊天表_AvgCommunicate_A_M.csv,1127,AvgCommunicate,Content,哈姆林,虽然我觉得充足良好的睡眠才是更重要的，但毕竟你肩负了如此多的责任，忙碌也是在所难免。,"물론 충분한 수면이 더 중요하다고 생각합니다만, 맡은 책임이 많으니 바쁠 만도 하지요."
AvgCommunicate_66999_Content_14,abZP,avg通讯器聊天表_AvgCommunicate_A_M.csv,1128,AvgCommunicate,Content,哈姆林,希望这首进行曲能够带给你力量。,이 행진곡이 수호자님께 조금이나마 힘이 되었으면 좋겠습니다.
AvgCommunicate_66993_Content_1,abWQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1400,AvgCommunicate,Content,艾继丝,守密人，请问……您什么时候有时间，能够与我见一次面呢？,"수호자님, 혹시... 시간이 괜찮으시다면 잠깐만 만나주실 수 있을까요?"
AvgCommunicate_66993_Content_2,abWW,avg通讯器聊天表_AvgCommunicate_A_M.csv,1401,AvgCommunicate,Content,艾继丝,啊，当然！如果您很忙的话，能够把贴身的衣物借给我也是可以的！,"아, 물론! 바쁘시면, 속옷만 빌려주셔도 돼요!"
AvgCommunicate_66993_Option_3,abXl,avg通讯器聊天表_AvgCommunicate_A_M.csv,1402,AvgCommunicate,Option,玩家,贴身衣物？这是要做什么吗？,속옷? 어디에 쓰려고?
AvgCommunicate_66993_Content_3,abWX,avg通讯器聊天表_AvgCommunicate_A_M.csv,1402,AvgCommunicate,Content,玩家,贴身衣物？这是要做什么吗？,속옷? 어디에 쓰려고?
AvgCommunicate_66993_Content_4,abWY,avg通讯器聊天表_AvgCommunicate_A_M.csv,1403,AvgCommunicate,Content,艾继丝,是，是这样的，最近我和梅森姐姐学会了织毛线，我给莉莉和詹金织了围巾和帽子。,"그, 그게... 최근에 메이슨 언니에게 뜨개질을 배웠어요. 그래서 릴리와 젠킨에게 목도리와 모자를 짜줬어요."
AvgCommunicate_66993_Option_5,abXn,avg通讯器聊天表_AvgCommunicate_A_M.csv,1404,AvgCommunicate,Option,玩家,哇，真厉害呀！,"와, 정말 대단한데!"
AvgCommunicate_66993_Content_5,abWZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1404,AvgCommunicate,Content,玩家,哇，真厉害呀！,"와, 정말 대단한데!"
AvgCommunicate_66993_Content_6,abXa,avg通讯器聊天表_AvgCommunicate_A_M.csv,1405,AvgCommunicate,Content,艾继丝,没有，都是很简单的……,"아뇨, 별거 아니에요…"
AvgCommunicate_66993_Content_7,abXb,avg通讯器聊天表_AvgCommunicate_A_M.csv,1406,AvgCommunicate,Content,艾继丝,不过现在我已经很熟练了，可以织一些更难的东西，所以想给守密人织一件毛衣！,그래도 지금은 꽤 익숙해져서 좀 더 어려운 것들도 만들 수 있어요. 그래서 수호자님께 스웨터를 떠드리고 싶어요!
AvgCommunicate_66993_Content_8,abXc,avg通讯器聊天表_AvgCommunicate_A_M.csv,1407,AvgCommunicate,Content,艾继丝,毛衣的话，我需要给守密人量一下尺寸，当然，如果守密人不需要的话就不用麻烦了！,"스웨터를 만들려면 수호자님의 치수를 재야 해요. 물론, 필요 없으시다면 안 하셔도 괜찮아요!"
AvgCommunicate_66993_Option_9,abXr,avg通讯器聊天表_AvgCommunicate_A_M.csv,1408,AvgCommunicate,Option,玩家,怎么会呢？小艾继丝想着我，我高兴还来不及。,"그게 무슨 말이야? 아이기스가 날 이렇게 생각해주다니, 정말 기뻐."
AvgCommunicate_66993_Content_9,abXd,avg通讯器聊天表_AvgCommunicate_A_M.csv,1408,AvgCommunicate,Content,玩家,怎么会呢？小艾继丝想着我，我高兴还来不及。,"그게 무슨 말이야? 아이기스가 날 이렇게 생각해주다니, 정말 기뻐."
AvgCommunicate_66993_Content_10,abWR,avg通讯器聊天表_AvgCommunicate_A_M.csv,1409,AvgCommunicate,Content,玩家,真期待啊，你打算给我织一件什么颜色的毛衣呢？,정말 기대돼! 어떤 색 스웨터를 만들 생각이야?
AvgCommunicate_66993_Content_11,abWS,avg通讯器聊天表_AvgCommunicate_A_M.csv,1410,AvgCommunicate,Content,艾继丝,我觉得红色或者白色的毛衣都很好看，守密人想要什么颜色的呢？,저는 빨간색이나 흰색이 예쁠 것 같아요. 수호자님은 어떤 색을 원하세요?
AvgCommunicate_66993_Option_12,abXh,avg通讯器聊天表_AvgCommunicate_A_M.csv,1411,AvgCommunicate,Option,玩家,红色吧！,빨간색!
AvgCommunicate_66993_Content_12,abWT,avg通讯器聊天表_AvgCommunicate_A_M.csv,1411,AvgCommunicate,Content,玩家,红色吧！,빨간색!
AvgCommunicate_66993_Option_13,abXi,avg通讯器聊天表_AvgCommunicate_A_M.csv,1412,AvgCommunicate,Option,玩家,白色吧！,흰색!
AvgCommunicate_66993_Content_13,abWU,avg通讯器聊天表_AvgCommunicate_A_M.csv,1412,AvgCommunicate,Content,玩家,白色吧！,흰색!
AvgCommunicate_66993_Content_14,abWV,avg通讯器聊天表_AvgCommunicate_A_M.csv,1413,AvgCommunicate,Content,艾继丝,好的，艾继丝记住了！我会努力的！,"좋아요, 아이기스가 기억했어요! 열심히 노력해볼게요!"
AvgCommunicate_67000_Content_1,acam,avg通讯器聊天表_AvgCommunicate_A_M.csv,1771,AvgCommunicate,Content,哈姆林,%player%%sirormadam%，最近我又创作了一首新的曲子，想请你在闲暇时间来点评一二。,"%player% {Male=씨, Female=양}, 최근에 새로운 곡을 하나 완성했는데, 시간이 되신다면 들어보시고 평가를 부탁드리고 싶습니다."
AvgCommunicate_67000_Option_2,acaC,avg通讯器聊天表_AvgCommunicate_A_M.csv,1772,AvgCommunicate,Option,玩家,你真是太客气了。,정말 고맙지만...
AvgCommunicate_67000_Content_2,acaq,avg通讯器聊天表_AvgCommunicate_A_M.csv,1772,AvgCommunicate,Content,玩家,你真是太客气了，哈姆林，我这种半吊子哪有资格来点评你的作品啊。,"정말 고맙지만... 하멜른, 나 같은 문외한이 네 곡을 평가할 자격이 어디 있겠어."
AvgCommunicate_67000_Content_3,acar,avg通讯器聊天表_AvgCommunicate_A_M.csv,1773,AvgCommunicate,Content,哈姆林,不，不必妄自菲薄，你的建议是我创作最大的动力。,"아니요, 스스로를 낮출 필요는 없습니다. 당신의 의견은 제 창작의 가장 큰 원동력입니다."
AvgCommunicate_67000_Option_4,acaE,avg通讯器聊天表_AvgCommunicate_A_M.csv,1774,AvgCommunicate,Option,玩家,有这么夸张吗？,그 정도야?
AvgCommunicate_67000_Content_4,acas,avg通讯器聊天表_AvgCommunicate_A_M.csv,1774,AvgCommunicate,Content,玩家,有这么夸张吗？不过，虽然很不好意思说，其实我每次听你新作的曲子都会听睡着……,"그 정도야? 하지만, 솔직히 조금 부끄럽지만 네 신곡을 들을 때마다 잠이 너무 잘 와…"
AvgCommunicate_67000_Content_5,acat,avg通讯器聊天表_AvgCommunicate_A_M.csv,1775,AvgCommunicate,Content,玩家,你的曲子是很优美，演奏也无可挑剔，就是每次我都像着了魔一样很快就睡晕过去了，可能我真的没有什么音乐天赋吧。,"네 곡은 정말 아름답고, 연주도 흠잡을 데 없지만 매번 마법에 걸린 듯 정신을 잃고 잠들어버려. 나는 정말 음악에 재능이 없나 봐."
AvgCommunicate_67000_Content_6,acau,avg通讯器聊天表_AvgCommunicate_A_M.csv,1776,AvgCommunicate,Content,哈姆林,不，这正是我想要的。,"아니요, 그거야말로 제가 원했던 것입니다."
AvgCommunicate_67000_Content_7,acav,avg通讯器聊天表_AvgCommunicate_A_M.csv,1777,AvgCommunicate,Content,哈姆林,能为你带来安眠，正是我的使命与职责。,편안한 잠을 가져다주는 것이 바로 제 사명이자 책임입니다.
AvgCommunicate_67000_Content_8,acaw,avg通讯器聊天表_AvgCommunicate_A_M.csv,1778,AvgCommunicate,Content,哈姆林,不如说，请你具体描述不同曲子为你带来的感受，以及听完后的睡眠质量，入睡的速度和睡眠时长等等。,"다양한 곡들이 당신에게 어떤 느낌을 주었는지, 듣고 난 후 수면의 질이 어땠는지, 잠에 드는 속도와 수면 시간 등을 구체적으로 설명해 주세요."
AvgCommunicate_67000_Option_9,acaJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1779,AvgCommunicate,Option,玩家,啊？,어어?
AvgCommunicate_67000_Content_9,acax,avg通讯器聊天表_AvgCommunicate_A_M.csv,1779,AvgCommunicate,Content,玩家,啊？,어어?
AvgCommunicate_67000_Content_10,acan,avg通讯器聊天表_AvgCommunicate_A_M.csv,1780,AvgCommunicate,Content,哈姆林,啊，这样的要求确实有些苛刻，是我考虑不周。,"아, 이런 요구사항은 확실히 좀 까다롭겠군요, 제 생각이 짧았습니다."
AvgCommunicate_67000_Content_11,acao,avg通讯器聊天表_AvgCommunicate_A_M.csv,1781,AvgCommunicate,Content,哈姆林,不如下次就让我在你的床前演奏，让我来细致记录你的睡眠吧。,아니면 다음부터는 당신의 침대 앞에서 연주하도록 해주세요. 수호자님의 수면을 자세히 기록하겠습니다.
AvgCommunicate_67000_Content_12,acap,avg通讯器聊天表_AvgCommunicate_A_M.csv,1782,AvgCommunicate,Content,哈姆林,我希望你的每一次入睡，都有我的守候。,"당신이 잠들 때마다, 제가 곁에 있을 수 있기를 바랍니다."
