Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
AvgDialog_95476_Content_100,bzLe,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,107,AvgDialog,Content,？？？_N,这其中，自然包括杀死您手下这种，在他们眼里一文不值的小老鼠。,This naturally includes killing the likes of your subordinates; those they view as worthless little mice.
AvgDialog_95476_Content_114,bzLt,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,121,AvgDialog,Content,,尽管已经从记忆中得知，但当你真的看到这个场面时还是感到十分诧异。,"Although you'd learned this from your memories, seeing the scene firsthand still left you quite astonished."
AvgDialog_95475_Content_14,bzHT,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,155,AvgDialog,Content,凯蒂古拉_人类,一点钟方向，准备突围，伊斯梅尔！,"One o'clock, prepare to break out, Ishmael!"
AvgDialog_95475_Content_23,bzJw,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,164,AvgDialog,Content,,蒂卡和路易斯迅速站到队伍两侧，挥舞利刃将敌人成片斩断。,"Tica and Louis quickly took positions on either side of the line, wielding their blades to sever enemies to pieces."
AvgDialog_95475_Content_36,bzJK,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,177,AvgDialog,Content,,不知是否是把护卫都派出去的缘故，浩大的神殿内抵抗相当微弱。,"You don't know if it's because all the guards were sent out, but the resistance in the grand temple is quite weak."
AvgDialog_95475_Content_50,bzKa,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,191,AvgDialog,Content,,老者伸出枯皱的手拼命向丢失的权杖抓去，嘶哑和扭曲的声音顺着畸形的声带蠕动爬出。,"The old man reached out his withered hand, desperately trying to grasp the lost scepter, a hoarse, distorted voice crawling out along his deformed vocal cords."
AvgDialog_95475_Content_52,bzKc,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,193,AvgDialog,Content,,凯蒂古拉重重一脚踩下，将对方的话按回喉咙里。,"Kathigu-Ra stomped down hard, forcing her opponent's words back into his throat."
AvgDialog_95475_Content_59,bzKj,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,200,AvgDialog,Content,,凯蒂古拉将弹药填充进枪膛，击锤被缓缓压下。,Kathigu-Ra loaded the ammo into the chamber and slowly pressed down the hammer.
AvgDialog_95475_Content_74,bzKA,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,215,AvgDialog,Content,,无视正在发生生理痉挛的尸体，凯蒂古拉在对方绸缎织成的衣物上擦了擦溅到枪上的组织液。,"Ignoring the body in physiological spasm, Kathigu-Ra wiped the tissue fluid splattered on the gun on the man's satin clothing."
AvgDialog_95475_Content_80,bzKH,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,221,AvgDialog,Content,,地面开始剧烈的震动，你能感觉到不止是神殿内部，整个提灯教会所在地都陷入了某种异变之中。,The ground began to tremble violently; you could feel that not only the temple's interior but the entire Temple Light Church was undergoing some kind of anomaly.
AvgDialog_95475_Content_83,bzKK,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,224,AvgDialog,Content,凯蒂古拉_人类,很好，带着我们原路返回，尽量减少看到活的敌人。,"Great, let's return the way we came and try to minimize encounters with live enemies."
AvgDialog_95475_Content_94,bzKW,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,235,AvgDialog,Content,,手持镰刀或无头的怪物替代了尸体的位置，在整个空间中咆哮着。,"Headless monsters with scythes showed up where the corpses had been, roaring throughout the space."
AvgDialog_95475_Content_109,bzHl,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,250,AvgDialog,Content,,娇小的少年闻言一愣，思索再三后，沉默地点了点头。,"The young man was momentarily stunned, but after a moment's contemplation, he nodded silently."
AvgDialog_95475_Content_134,bzHN,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,275,AvgDialog,Content,,众人依依不舍地扭过头，收起担忧的目光，迅速沿着小径离开这里。,"Everyone reluctantly turned their heads away, ending their worried gazes, and quickly retreated along the path."
AvgDialog_95473_Content_14,bzzP,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,294,AvgDialog,Content,,……第27次诱导，敌人减少至1/138,"...27th engagement, enemies reduced to 1/138"
AvgDialog_95473_Content_67,bzAV,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,347,AvgDialog,Content,N_面具,就不能是单纯想看看，人类在这种情况下的表情么？,Couldn't it be that I just wanted to see what kind of expression humans have in such a situation?
AvgDialog_95474_Content_39,bzFL,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,401,AvgDialog,Content,N_面具,看来凯蒂古拉女士管教无方啊。,It seems Lady Kathigu-Ra doesn't know how to manage her people.
AvgDialog_95474_Content_55,bzGd,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,417,AvgDialog,Content,路易斯,呼……比预想中还要强。,Huh... He was stronger than expected.
AvgDialog_95474_Content_65,bzGo,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,427,AvgDialog,Content,,蒂卡不知找了什么话题，跟路易斯聊了起来。,Tica found some topic to chat with Louis about.
AvgDialog_95474_Content_66,bzGp,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,428,AvgDialog,Content,,伊斯梅尔还是跟往常一样沉默寡言，但是你注意到他悄悄地抓住了凯蒂古拉大衣的一角。,"Ishmael remained as quiet and reserved as ever, but you noticed him quietly grabbing a corner of Kathigu-Ra's coat."
AvgDialog_95477_Content_40,bzPA,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,532,AvgDialog,Content,凯蒂古拉_人类,哎，结果还是这样么。,"So, this is how it ends after all."
AvgDialog_95477_Content_46,bzPG,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,538,AvgDialog,Content,凯蒂古拉_人类,但你应该知道，我最不能容忍的是，你妄图让刀尖沾染我最重要之人的鲜血。,"But you should know, the one thing I cannot tolerate is your attempt to stain your blade's tip with the blood of one I cherish the most."
AvgDialog_95477_Content_59,bzPU,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,551,AvgDialog,Content,凯蒂古拉_人类,继续赶路吧，起码要先找到一个休息的地方。,"Let's keep moving, we need to at least find a place to rest first."
AvgDialog_95477_Content_65,bzQb,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,557,AvgDialog,Content,蒂卡,就你还想让我们背叛大姐么？,You wanna make us betray our Big Sis? Not in your lifetime.
AvgDialog_95477_Content_90,bzQD,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,582,AvgDialog,Content,,正当凯蒂古拉为留在这里照顾蒂卡找理由时，眼前突然变化的一切让她愣在原地。,"Just as Kathigu-Ra was searching for reasons to stay and take care of Tica, the sudden change of everything before her eyes left her frozen in place."
AvgDialog_96007_Content_2,bAeM,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,596,AvgDialog,Content,,当理智终于战胜欲望，重新回到那疲惫不堪的大脑时，你早已吃下过量的食物。,"When reason finally triumphed over desire and returned to your exhausted mind, you had already consumed an excessive amount of food."
AvgDialog_96007_Content_7,bAfP,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,601,AvgDialog,Content,,卢修斯将酒桶放在几人中央，淡淡酒香刺激着你们的神经。,"Lucius placed the wine barrels in the center of the group, and the faint aroma of wine stimulated your nerves."
AvgDialog_96007_Content_18,bAeK,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,612,AvgDialog,Content,,不知是否是之前三十……或许是四十小时滴水未进的经历，你觉得这酒的味道远超记忆中所有美酒。,"You weren't sure if it was due to the previous thirty... or perhaps forty hours without a drop of water, but you found the taste of this liquor far surpassed all fine wines you could remember."
AvgDialog_96007_Content_28,bAeV,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,622,AvgDialog,Content,,伊斯梅尔喝得并不快，相比于其他人地豪饮，伊斯梅尔更多的是让其缓缓从喉咙流下。,"Ishmael didn't drink quickly; compared to the others' heavy drinking, he preferred to let it slowly flow down his throat."
AvgDialog_96007_Content_36,bAfe,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,630,AvgDialog,Content,蒂卡,说起来，我们好像都不知道其他人是怎么碰到大姐的。,"Speaking of which, it seems none of us know how the others met Big Sis."
AvgDialog_96007_Content_38,bAfg,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,632,AvgDialog,Content,路易斯,我也没见过，每次都是大姐回来时身边多了个人，然后告诉我们从今往后大家就要一起生活了。,"I've never seen it either; every time, Big Sis returned with someone new, then told us that we would all live together from now on."
AvgDialog_96007_Content_42,bAfl,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,636,AvgDialog,Content,凯蒂古拉_人类,这都什么时候的陈年旧事。,That was all so long ago.
AvgDialog_96007_Content_43,bAfm,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,637,AvgDialog,Content,凯蒂古拉_人类,你们怎么还记得，我早都忘干净了。,How do you all still remember? I've forgotten it all.
AvgDialog_96007_Content_55,bAfz,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,649,AvgDialog,Content,卢修斯,我的出身比大家好一点，算是有父母吧。,My background is a bit better than everyone else's; I had parents at least.
AvgDialog_96007_Content_56,bAfA,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,650,AvgDialog,Content,卢修斯,但我的父母是两个混账，整天不是赌博就是吸毒，没事干就死命地打我。,"But my parents were two bastards who gambled and did drugs all day long, and when they had nothing else to do, they beat me mercilessly."
AvgDialog_96007_Content_60,bAfF,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,654,AvgDialog,Content,卢修斯,那是一个雷雨的早晨，我被雷声惊醒，正打算看看碗里有没有他们剩下的食物。,It was a stormy morning. I was awakened by the thunder and was about to check if there was any leftover food in the bowl.
AvgDialog_96007_Content_68,bAfN,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,662,AvgDialog,Content,蒂卡,大姐就是小时候才这样吧，现在反而不会了。,"Big Sis was like that when we were kids, but now she doesn't act that way anymore."
AvgDialog_96007_Content_72,bAfS,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,666,AvgDialog,Content,卢修斯,这听起来就是什么传说故事中苦命主角的称号，当时我震撼得不得了！,That sounds like the title of a tragic character from some legendary story; I was absolutely shocked at the time!
AvgDialog_96007_Content_81,bAgc,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,675,AvgDialog,Content,凯蒂古拉_人类,你当时沉死了……我本来以为会很轻的，走到一半就后悔了。,"You were heavy as lead back then... I thought you would be light, but halfway through, I regretted it."
AvgDialog_96007_Content_83,bAge,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,677,AvgDialog,Content,凯蒂古拉_人类,是啊，总不能让你自己爬回去吧，所以只能硬着头皮把你背回去了。,"Yes, I couldn't let you crawl back alone, so I had to grit my teeth and carry you back."
AvgDialog_96007_Content_102,bAdl,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,696,AvgDialog,Content,蒂卡,结果没多久就被一些流里流气的人堵住了，我就拼命地跑啊跑啊。,"As a result I was soon blocked by some shady people, so I ran for my life desperately."
AvgDialog_96007_Content_109,bAds,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,703,AvgDialog,Content,蒂卡,这时候我才知道，原来救了我的是一个没比我大几岁的姐姐。,"At that point, I discovered that the one who saved me was a girl only a few years older than me."
AvgDialog_96007_Content_110,bAdu,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,704,AvgDialog,Content,蒂卡,大姐你的气势太酷了！虽然你当时拿的只是便宜货，但毫——不影响你的帅气身姿！,"Kath, you were so cool! That cheap gun you had back then didnn't take away from how awesome you were."
AvgDialog_96007_Content_115,bAdz,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,709,AvgDialog,Content,蒂卡,嘿嘿，大姐不就是么，我们的心可都被你拐走了哦。,"Hehe, aren't you our Big Sis after all? You've already stolen all our hearts~"
AvgDialog_96007_Content_128,bAdN,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,722,AvgDialog,Content,阿黛拉,我就没有卢修斯那么精彩啦，我跟凯蒂古拉姐姐的故事是发生在一个小巷子里。,I'm not as exciting as Lucius. My story with Big Sis Kath happened in a small alley.
AvgDialog_96007_Content_132,bAdS,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,726,AvgDialog,Content,阿黛拉,那时我偷窃被抓到，在巷子里被失主打的头破血流。,"At that time, I was caught stealing and was beaten bloody in an alley by the owner."
AvgDialog_96007_Content_135,bAdV,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,729,AvgDialog,Content,阿黛拉,当时我就在想，神啊，求求你救救我吧。,"At that time, I thought, God, please save me."
AvgDialog_96007_Content_136,bAdW,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,730,AvgDialog,Content,阿黛拉,然后奇迹就出现了！凯蒂古拉姐姐像天使一样出现在我的眼前！,And then a miracle happened! Big Sis Kath appeared before me like an angel!
AvgDialog_96007_Content_139,bAdZ,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,733,AvgDialog,Content,阿黛拉,怎么会呢！当时凯蒂古拉姐姐你抓住对方的手，用补偿金打发走对方，在我看来就是神明派来的天使啊。,"How could that be! At that time, Big Sis Kath, you grabbed the owner's hand and sent them away with compensation. To me, you felt like an angel sent by the gods."
AvgDialog_96007_Content_142,bAed,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,736,AvgDialog,Content,阿黛拉,然后凯蒂古拉姐姐就带着我，去把我的上级杀掉了。,Then Big Sis Kath took me to kill my superior.
AvgDialog_96007_Content_143,bAee,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,737,AvgDialog,Content,阿黛拉,遗憾的是最后只有我一个人跟着凯蒂古拉姐姐走了，剩下的还是回去做了老本行。,"Unfortunately, in the end only I left with Big Sis Kath, while the others returned to their former ways."
AvgDialog_96007_Content_145,bAeg,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,739,AvgDialog,Content,阿黛拉,是啊，当时我也担心会不会给大家带来麻烦，多亏凯蒂古拉姐姐~,"Yeah, at that time I was also worried about causing trouble for everyone. Thank God for Big Sis Kath~"
AvgDialog_96007_Content_158,bAeu,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,752,AvgDialog,Content,伊斯梅尔,他靠着我跟他打配合，在赌局中赢了不少钱。,"He collaborated with me, winning quite a bit of money gambling."
AvgDialog_96007_Content_167,bAeE,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,761,AvgDialog,Content,凯蒂古拉_人类,其实那个时候我也出千了，只是没人发现而已。毕竟赌徒只有在赌桌上，才会有钱还那些烂账。,"In fact, I was cheating at that time too, just no one noticed. After all, gamblers will only have the money to repay their debts at the gambling table."
AvgDialog_97988_Content_6,bBuT,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,799,AvgDialog,Content,,每只怪物头上都有一个弹孔，精准的一击毙命。,"Every monster lay still, each bearing a single, precise bullet hole in its head—a perfect, merciful kill shot."
AvgDialog_97988_Content_104,bBsA,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,897,AvgDialog,Content,N,或许可以不带之一？算了，这都不关键！,"It might even be the best? Never mind, that's not the point!"
AvgDialog_97988_Content_112,bBsJ,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,905,AvgDialog,Content,凯蒂古拉_燃烧,真是聒噪，都这个时候了，还在喋喋不休个不停。,"How noisy. Even now, you're still chattering non-stop."
AvgDialog_97988_Content_120,bBsS,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,913,AvgDialog,Content,,那是造物主刻在一切存在最深处、最原始也是最后的必将降临的最终恐惧——<Big:<Red:死亡>>。,"That was the ultimate fear, The Arrival of the deepest, most primal and final <Big:<Red:Death>> etched by the Creator in the core of all existence."
AvgDialog_97988_Content_136,bBtj,avgV2.3.1凯蒂古拉小型支线_AvgDialog_C_M.csv,929,AvgDialog,Content,凯蒂古拉_燃烧,还是哀嚎更适合你，不是么？,You're much more pleasant to listen to when you wail like this.
AvgDialog_98284_Content_2,bBOm,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,9,AvgDialog,Content,,硬鞋底落在墓园的石砖路面，清晰的脚步声越过密密麻麻的坟墓，传到雾色的尽头。,"Hard soles hit the stone path of the cemetery. The clear sound of footsteps passes through densely packed graves, carried along the fog."
AvgDialog_98284_Content_3,bBOx,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,10,AvgDialog,Content,,脚步声停下。你抬起头，一栋崎岖的别墅矗立在墓园之中，如同一座造型奇特的巨大墓碑。,"The footsteps stop. You lift your head; a rugged villa looms in the cemetery, resembling a massive, uniquely shaped tombstone."
AvgDialog_98284_Content_4,bBOI,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,11,AvgDialog,Content,,各色的暗淡颜料被涂抹在漆黑、古老的墙面。一场废弃舞池中的漫长狂欢。,"Assorted dull pigments are smeared across its ancient, pitch-black walls—a lasting revelry on an abandoned dance floor."
AvgDialog_98284_Content_5,bBOT,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,玩家,这场梦境的开场倒是别开生面。,The opening of this dream is quite refreshing.
AvgDialog_98284_Content_6,bBPe,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,13,AvgDialog,Content,玩家,埃弗，美术学院绘画系大一的学生，革新派画法的拥护者……,"Avery, a freshman Painting major at the Art Academy and supporter of innovative painting techniques…"
AvgDialog_98284_Content_7,bBPp,avgV2.3.2皮克曼小型支线_AvgDialog_C_M.csv,14,AvgDialog,Content,,你闭上眼睛，仔细回忆着自己的身份。一个熟悉的名字窜入你的脑海。,You close your eyes and carefully recall your identity. A familiar name flashes in your mind.
