Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Event_7393_ChoiceDesc3,aAUV,s事件_Event_A.csv,154,Event,ChoiceDesc3,,【静心聆听】获得25黑印,[Listen Quietly] Receive 25 Black Sigils
Event_59610_ChoiceDesc3,axZB,s事件_Event_A.csv,158,Event,ChoiceDesc3,,【沉默观看】获得25黑印,[Silent Watch] Receive 25 Black Sigils
Event_7112_ChoiceDesc3,azIN,s事件_Event_A.csv,162,Event,ChoiceDesc3,,【放回抽屉】获得25黑印,[Put Back in Drawer] Receive 25 Black Sigils
Event_7448_ChoiceDesc3,aBuN,s事件_Event_A.csv,166,Event,ChoiceDesc3,,【仔细观察】获得25黑印,[Observe Carefully] Receive 25 Black Sigils
Event_7152_ChoiceDesc3,azRZ,s事件_Event_A.csv,170,Event,ChoiceDesc3,,【小心收好】获得25黑印,[Store Carefully] Receive 25 Black Sigils
Event_7251_ChoiceDesc3,aAoh,s事件_Event_A.csv,174,Event,ChoiceDesc3,,【置之不理】获得25黑印,[Ignore] Receive 25 Black Sigils
Event_36743_ChoiceDesc3,awRd,s事件_Event_A.csv,178,Event,ChoiceDesc3,,【无视疼痛】获得25黑印,[Ignore Pain] Receive 25 Black Sigils
Event_7378_ChoiceDesc3,aARx,s事件_Event_A.csv,182,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7410_ChoiceDesc3,aAZp,s事件_Event_A.csv,185,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_6941_ChoiceDesc3,ayUh,s事件_Event_A.csv,188,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_6824_ChoiceDesc3,ayth,s事件_Event_A.csv,191,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7595_ChoiceDesc3,aCcJ,s事件_Event_A.csv,194,Event,ChoiceDesc3,,【背对】获得25黑印,[Turn Your Back] Receive 25 Black Sigils
Event_61073_ChoiceDesc3,aynF,s事件_Event_A.csv,198,Event,ChoiceDesc3,,【继续奔跑】获得25黑印,[Keep Running] Receive 25 Black Sigils
Event_36880_ChoiceDesc3,awUN,s事件_Event_A.csv,202,Event,ChoiceDesc3,,【同她商量】获得25黑印,[Negotiate with Her] Receive 25 Black Sigils
Event_7619_ChoiceDesc3,aCil,s事件_Event_A.csv,227,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_6958_ChoiceDesc3,ayYd,s事件_Event_A.csv,230,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7229_ChoiceDesc3,aAjd,s事件_Event_A.csv,233,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7085_ChoiceDesc3,azCp,s事件_Event_A.csv,236,Event,ChoiceDesc3,,【转身离开】获得25黑印,[Turn and Leave] Receive 25 Black Sigils
Event_48230_ChoiceDesc3,axlR,s事件_Event_A.csv,239,Event,ChoiceDesc3,,【无视它】获得25黑印,[Disregard It] Receive 25 Black Sigils
Event_24545_ChoiceDesc3,awzZ,s事件_Event_A.csv,243,Event,ChoiceDesc3,,【转身离开】获得25黑印,[Turn and Leave] Receive 25 Black Sigils
Event_50015_ChoiceDesc3,axvd,s事件_Event_A.csv,246,Event,ChoiceDesc3,,【揉揉眼睛】获得25黑印,[Rub Your Eyes] Receive 25 Black Sigils
Event_61061_ChoiceDesc3,aykR,s事件_Event_A.csv,250,Event,ChoiceDesc3,,【呼喊幽灵】获得25黑印,[Call the Spirit] Receive 25 Black Sigils
Event_7043_ChoiceDesc3,azsF,s事件_Event_A.csv,254,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7498_ChoiceDesc3,aBGp,s事件_Event_A.csv,257,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_59600_ChoiceDesc3,axXl,s事件_Event_A.csv,260,Event,ChoiceDesc3,,【默默接受】获得25黑印,[Accept Silently] Receive 25 Black Sigils
Event_7561_ChoiceDesc3,aBUR,s事件_Event_A.csv,263,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_6988_ChoiceDesc3,azfV,s事件_Event_A.csv,266,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_59588_ChoiceDesc3,axUx,s事件_Event_A.csv,269,Event,ChoiceDesc3,,【闭上双眼】获得25黑印,[Close Your Eyes] Receive 25 Black Sigils
Event_7159_ChoiceDesc3,azTF,s事件_Event_A.csv,272,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_91468_ChoiceDesc3,byPg,s事件_Event_A.csv,275,Event,ChoiceDesc3,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7491_ChoiceDesc1,aBEH,s事件_Event_A.csv,296,Event,ChoiceDesc1,,【您愿意付出怎样的代价呢？】随机提升1张卡牌的刻印品质,[What Price Are You Willing to Pay?] Enhance the Orison quality of a random card.
Event_7185_ChoiceDesc1,azZD,s事件_Event_A.csv,299,Event,ChoiceDesc1,,【女士肖像画】随机提升1张卡牌的刻印品质,[Lady's Portrait] Enhance the Orison quality of a random card.
Event_7480_ChoiceDesc1,aBCf,s事件_Event_A.csv,302,Event,ChoiceDesc1,,【静静听着】随机提升1张卡牌的刻印品质,[Listening Quietly] Enhance the Orison quality of a random card.
Event_7160_ChoiceDesc1,azTP,s事件_Event_A.csv,305,Event,ChoiceDesc1,,【留下供奉】随机提升1张卡牌的刻印品质,[Leave an Offering] Enhance the Orison quality of a random card.
Event_50292_ChoiceDesc1,axEL,s事件_Event_A.csv,308,Event,ChoiceDesc1,,【挣脱回忆】随机提升1张卡牌的刻印品质,[Break Free from Memories] Enhance the Orison quality of a random card.
Event_7374_ChoiceDesc3,aAQB,s事件_Event_A.csv,347,Event,ChoiceDesc3,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_7550_ChoiceDesc3,aBSp,s事件_Event_A.csv,350,Event,ChoiceDesc3,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_59574_ChoiceDesc3,axRl,s事件_Event_A.csv,353,Event,ChoiceDesc3,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_7536_ChoiceDesc3,aBPd,s事件_Event_A.csv,356,Event,ChoiceDesc3,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_91499_ChoiceDesc3,byRl,s事件_Event_A.csv,359,Event,ChoiceDesc3,,【离开】获得50黑印,[Leave] Receive 50 Black Sigils
Event_7026_ChoiceDesc3,azoJ,s事件_Event_A.csv,362,Event,ChoiceDesc3,,【拆开它】获得50黑印,[Disassemble It] Receive 50 Black Sigils
Event_59570_ChoiceDesc3,axQp,s事件_Event_A.csv,366,Event,ChoiceDesc3,,【以直视】获得50黑印,[Stare Directly] Receive 50 Black Sigils
Event_7135_ChoiceDesc3,azOd,s事件_Event_A.csv,370,Event,ChoiceDesc3,,【赶紧开溜】获得50黑印,[Run Away] Receive 50 Black Sigils
Event_7404_ChoiceDesc3,aAXx,s事件_Event_A.csv,374,Event,ChoiceDesc3,,【我要走自己的路】获得50黑印,[I Will Walk My Own Path] Receive 50 Black Sigils
Event_7591_ChoiceDesc3,aCbN,s事件_Event_A.csv,378,Event,ChoiceDesc3,,【夺走诗人的稿纸】获得50黑印,[Steal the Poet's Manuscript] Receive 50 Black Sigils
Event_50276_ChoiceDesc3,axBd,s事件_Event_A.csv,382,Event,ChoiceDesc3,,【继续前进】获得50黑印,[Keep Going] Receive 50 Black Sigils
Event_7304_ChoiceDesc1,aAAr,s事件_Event_A.csv,388,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_80468_ChoiceDesc1,bsjy,s事件_Event_A.csv,401,Event,ChoiceDesc1,,【离开】获得25黑印,[Leave] Receive 25 Black Sigils
Event_7297_ChoiceDesc1,aAyL,s事件_Event_A.csv,513,Event,ChoiceDesc1,,【迎向蝴蝶】删除1张指令卡，获得Arg1黑印,"[Go to the Butterflies] Destroy a Command card, and receive Arg1 Black Sigils."
Event_7016_ChoiceDesc1,azmr,s事件_Event_A.csv,514,Event,ChoiceDesc1,,【抓住第二只蝴蝶】删除1张指令卡，获得Arg1黑印,"[Catch the Second Butterfly] Destroy a Command card, and receive Arg1 Black Sigils."
Event_7017_ChoiceDesc1,azmD,s事件_Event_A.csv,515,Event,ChoiceDesc1,,【观察第三只蝴蝶】删除1张指令卡，获得Arg1黑印,"[Observe the Third Butterfly] Destroy a Command card, and receive Arg1 Black Sigils."
Event_7436_ChoiceDesc1,aBrX,s事件_Event_A.csv,517,Event,ChoiceDesc1,,【放弃抵抗】删除1张指令卡，获得Arg1黑印,"[Give Up Resistance] Destroy a Command card, and receive Arg1 Black Sigils."
Event_6889_ChoiceDesc1,ayIf,s事件_Event_A.csv,518,Event,ChoiceDesc1,,【放弃抵抗】删除1张指令卡，获得Arg1黑印,"[Give Up Resistance] Destroy a Command card, and receive Arg1 Black Sigils."
Event_6837_ChoiceDesc1,aywf,s事件_Event_A.csv,519,Event,ChoiceDesc1,,【放弃抵抗】删除1张指令卡，获得Arg1黑印,"[Give Up Resistance] Destroy a Command card, and receive Arg1 Black Sigils."
Event_80480_ChoiceDesc1,bsmm,s事件_Event_A.csv,521,Event,ChoiceDesc1,,【开始「工作」】删除1张指令卡，获得Arg1黑印,[Start 'working'] Destroy a Command card and receive Arg1 Black Sigils.
Event_80469_ChoiceDesc1,bsjK,s事件_Event_A.csv,522,Event,ChoiceDesc1,,【开始「工作」】删除1张指令卡，获得Arg1黑印,[Start 'working'] Destroy a Command card and receive Arg1 Black Sigils.
Event_80478_ChoiceDesc1,bslO,s事件_Event_A.csv,523,Event,ChoiceDesc1,,【开始「工作」】删除1张指令卡，获得Arg1黑印,[Start 'working'] Destroy a Command card and receive Arg1 Black Sigils.
Event_6831_ChoiceDesc1,ayuL,s事件_Event_A.csv,525,Event,ChoiceDesc1,,【阅读书信】删除1张指令卡，获得Arg1黑印,"[Read the Letter] Destroy a Command card, and receive Arg1 Black Sigils."
Event_6915_ChoiceDesc1,ayOf,s事件_Event_A.csv,526,Event,ChoiceDesc1,,【阅读书信】删除1张指令卡，获得Arg1黑印,"[Read the Letter] Destroy a Command card, and receive Arg1 Black Sigils."
Event_7027_ChoiceDesc1,azoT,s事件_Event_A.csv,527,Event,ChoiceDesc1,,【阅读书信】删除1张指令卡，获得Arg1黑印,"[Read the Letter] Destroy a Command card, and receive Arg1 Black Sigils."
Event_6923_ChoiceDesc1,ayPX,s事件_Event_A.csv,529,Event,ChoiceDesc1,,【驱赶乌鸦】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_6923_ChoiceDesc2,ayPY,s事件_Event_A.csv,529,Event,ChoiceDesc2,,【无视】获得25黑印，离开,[Disregard] Receive 25 Black Sigils and leave.
Event_7202_ChoiceDesc1,aAdz,s事件_Event_A.csv,530,Event,ChoiceDesc1,,【驱赶乌鸦】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7400_ChoiceDesc1,aAWz,s事件_Event_A.csv,531,Event,ChoiceDesc1,,【驱赶乌鸦】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7288_ChoiceDesc1,aAwH,s事件_Event_A.csv,532,Event,ChoiceDesc1,,【驱赶乌鸦】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_6953_ChoiceDesc1,ayWT,s事件_Event_A.csv,533,Event,ChoiceDesc1,,【驱赶乌鸦】获得Arg1黑印，感染「(Skill.Arg2)」,"[Chase the Crows] Receive Arg1 Black Sigils, but develop ""(Skill.Arg2)"""
Event_6905_ChoiceDesc1,ayLP,s事件_Event_A.csv,536,Event,ChoiceDesc1,,【摁住乌鸦】获得40黑印，感染「(Skill.Arg2)」，继续选择,"[Pin Down the Crow] Receive 40 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_6905_ChoiceDesc2,ayLQ,s事件_Event_A.csv,536,Event,ChoiceDesc2,,【放任不管】获得25黑印，离开,[Ignore It] Receive 25 Black Sigils and leave.
Event_7193_ChoiceDesc1,aAbv,s事件_Event_A.csv,537,Event,ChoiceDesc1,,【摁住乌鸦】获得35黑印，感染「(Skill.Arg2)」，继续选择,"[Pin Down the Crow] Receive 35 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7197_ChoiceDesc1,aAcr,s事件_Event_A.csv,538,Event,ChoiceDesc1,,【摁住乌鸦】获得30黑印，感染「(Skill.Arg2)」，继续选择,"[Pin Down the Crow] Receive 30 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7270_ChoiceDesc1,aAsz,s事件_Event_A.csv,539,Event,ChoiceDesc1,,【摁住乌鸦】获得25黑印，感染「(Skill.Arg2)」，继续选择,"[Pin Down the Crow] Receive 25 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7266_ChoiceDesc1,aArD,s事件_Event_A.csv,540,Event,ChoiceDesc1,,【摁住乌鸦】获得20黑印，感染「(Skill.Arg2)」,"[Pin Down the Crow] Receive 20 Black Sigils, but develop ""(Skill.Arg2)"""
Event_91490_ChoiceDesc1,byQE,s事件_Event_A.csv,543,Event,ChoiceDesc1,,【聆听】获得40黑印，感染「(Skill.Arg2)」，继续选择,"[Listen] Receive 40 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_91490_ChoiceDesc2,byQF,s事件_Event_A.csv,543,Event,ChoiceDesc2,,【无视】获得25黑印，离开,[Disregard] Receive 25 Black Sigils and leave.
Event_91506_ChoiceDesc1,byRI,s事件_Event_A.csv,544,Event,ChoiceDesc1,,【聆听】获得35黑印，感染「(Skill.Arg2)」，继续选择,"[Listen] Receive 35 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_91464_ChoiceDesc1,byOO,s事件_Event_A.csv,545,Event,ChoiceDesc1,,【聆听】获得30黑印，感染「(Skill.Arg2)」，继续选择,"[Listen] Receive 30 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_91466_ChoiceDesc1,byOV,s事件_Event_A.csv,546,Event,ChoiceDesc1,,【聆听】获得25黑印，感染「(Skill.Arg2)」，继续选择,"[Listen] Receive 25 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_91500_ChoiceDesc1,byRo,s事件_Event_A.csv,547,Event,ChoiceDesc1,,【聆听】获得20黑印，感染「(Skill.Arg2)」,"[Listen] Receive 20 Black Sigils, but develop ""(Skill.Arg2)"""
Event_59571_ChoiceDesc1,axQz,s事件_Event_A.csv,550,Event,ChoiceDesc1,,【寻找答案】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Seek Answers] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_59571_ChoiceDesc2,axQA,s事件_Event_A.csv,550,Event,ChoiceDesc2,,【放弃】获得25黑印，离开,[Give Up] Receive 25 Black Sigils and leave.
Event_59597_ChoiceDesc1,axWz,s事件_Event_A.csv,551,Event,ChoiceDesc1,,【寻找答案】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Seek Answers] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_59619_ChoiceDesc1,aybD,s事件_Event_A.csv,552,Event,ChoiceDesc1,,【寻找答案】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Seek Answers] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_59608_ChoiceDesc1,axZb,s事件_Event_A.csv,553,Event,ChoiceDesc1,,【寻找答案】获得Arg1黑印，感染「(Skill.Arg2)」，继续选择,"[Seek Answers] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_59633_ChoiceDesc1,ayeP,s事件_Event_A.csv,554,Event,ChoiceDesc1,,【寻找答案】获得Arg1黑印，感染「(Skill.Arg2)」,"[Seek Answers] Receive Arg1 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7548_ChoiceDesc1,aBRP,s事件_Event_A.csv,557,Event,ChoiceDesc1,,【驱赶乌鸦】获得40黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive 40 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7548_ChoiceDesc2,aBRQ,s事件_Event_A.csv,557,Event,ChoiceDesc2,,【继续追逐孩子】获得25黑印，离开,[Keep Chasing the Child] Receive 25 Black Sigils and leave.
Event_7505_ChoiceDesc1,aBHT,s事件_Event_A.csv,558,Event,ChoiceDesc1,,【驱赶乌鸦】获得35黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive 35 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7492_ChoiceDesc1,aBET,s事件_Event_A.csv,559,Event,ChoiceDesc1,,【驱赶乌鸦】获得30黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive 30 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7334_ChoiceDesc1,aAHn,s事件_Event_A.csv,560,Event,ChoiceDesc1,,【驱赶乌鸦】获得25黑印，感染「(Skill.Arg2)」，继续选择,"[Chase the Crows] Receive 25 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7435_ChoiceDesc1,aBrL,s事件_Event_A.csv,561,Event,ChoiceDesc1,,【驱赶乌鸦】获得20黑印，感染「(Skill.Arg2)」,"[Chase the Crows] Receive 20 Black Sigils, but develop ""(Skill.Arg2)"""
Event_7188_ChoiceDesc1,aAan,s事件_Event_A.csv,563,Event,ChoiceDesc1,,【呼唤乌鸦】获得40黑印，感染「(Skill.Arg2)」，继续选择,"[Call the Crow] Receive 40 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7188_ChoiceDesc2,aAao,s事件_Event_A.csv,563,Event,ChoiceDesc2,,【远远离开】获得25黑印,[Stay Far Away] Receive 25 Black Sigils and leave.
Event_7032_ChoiceDesc1,azqb,s事件_Event_A.csv,564,Event,ChoiceDesc1,,【呼唤乌鸦】获得35黑印，感染「(Skill.Arg2)」，继续选择,"[Call the Crow] Receive 35 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_6836_ChoiceDesc1,ayvT,s事件_Event_A.csv,565,Event,ChoiceDesc1,,【呼唤乌鸦】获得30黑印，感染「(Skill.Arg2)」，继续选择,"[Call the Crow] Receive 30 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7001_ChoiceDesc1,aziT,s事件_Event_A.csv,566,Event,ChoiceDesc1,,【呼唤乌鸦】获得25黑印，感染「(Skill.Arg2)」，继续选择,"[Call the Crow] Receive 25 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_7124_ChoiceDesc1,azLz,s事件_Event_A.csv,567,Event,ChoiceDesc1,,【呼唤乌鸦】获得20黑印，感染「(Skill.Arg2)」,"[Call the Crow] Receive 20 Black Sigils, but develop ""(Skill.Arg2)"""
Event_35916_ChoiceDesc1,awHf,s事件_Event_A.csv,570,Event,ChoiceDesc1,,【无法抽身】获得40黑印，感染「(Skill.Arg2)」，继续选择,"[No Way Out] Receive 40 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_35916_ChoiceDesc2,awHg,s事件_Event_A.csv,570,Event,ChoiceDesc2,,【拥抱现实】获得25黑印,[Embrace Reality] Receive 25 Black Sigils and leave.
Event_35894_ChoiceDesc1,awCb,s事件_Event_A.csv,571,Event,ChoiceDesc1,,【向下坠落】获得35黑印，感染「(Skill.Arg2)」，继续选择,"[Fall Downwards] Receive 35 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_35895_ChoiceDesc1,awCn,s事件_Event_A.csv,572,Event,ChoiceDesc1,,【周而复始】获得30黑印，感染「(Skill.Arg2)」，继续选择,"[Cycle Again] Receive 30 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_35933_ChoiceDesc1,awLb,s事件_Event_A.csv,573,Event,ChoiceDesc1,,【无处可逃】获得25黑印，感染「(Skill.Arg2)」，继续选择,"[Nowhere to Run] Receive 25 Black Sigils, develop ""(Skill.Arg2)"" and continue choosing."
Event_35912_ChoiceDesc1,awGj,s事件_Event_A.csv,574,Event,ChoiceDesc1,,【沉沦迷离】获得20黑印，感染「(Skill.Arg2)」,"[Sink into Oblivion] Receive 20 Black Sigils, but develop ""(Skill.Arg2)"""
Event_6818_ChoiceDesc2,ayrM,s事件_Event_A.csv,577,Event,ChoiceDesc2,,【合奏】每有一名狂气值在50及以上的唤醒体，获得15黑印,[Ensemble] Receive 15 Black Sigils for each Awakener with 50 or more Aliemus.
Event_74175_ChoiceDesc2,aBhQ,s事件_Event_A.csv,580,Event,ChoiceDesc2,,【聆听琴声】每有一名狂气值在50及以上的唤醒体，获得15黑印,[Listening to the Strings] Receive 15 Black Sigils for each Awakener with 50 or more Aliemus.
Event_6888_ChoiceDesc2,ayHU,s事件_Event_A.csv,583,Event,ChoiceDesc2,,【听完弹奏】每有一名狂气值在50及以上的唤醒体，获得15黑印,[Listen to the Performance] Receive 15 Black Sigils for each Awakener with 50 or more Aliemus.
Event_50073_ChoiceDesc2,axyY,s事件_Event_A.csv,586,Event,ChoiceDesc2,,【捂住耳朵】每有一名狂气值在50及以上的唤醒体，获得15黑印,[Cover Ears] Receive 15 Black Sigils for each Awakener with 50 or more Aliemus.
Event_7064_ChoiceDesc2,azxw,s事件_Event_A.csv,590,Event,ChoiceDesc2,,【聆听喜悦】每有一名狂气值在50及以上的唤醒体，获得15黑印,[Hear Joy] Receive 15 Black Sigils for each Awakener with 50 or more Aliemus.
Event_6983_ChoiceDesc2,azeM,s事件_Event_A.csv,593,Event,ChoiceDesc2,,【拒绝离开】获得75黑印，感染「(Skill.Arg2)」,"[Refuse to Leave] Receive 75 Black Sigils, but develop the Symptom ""(Skill.Arg2)"""
Event_7221_ChoiceDesc2,aAhk,s事件_Event_A.csv,596,Event,ChoiceDesc2,,【低头查看】获得75黑印，感染「(Skill.Arg2)」,"[Look Down] Receive 75 Black Sigils, but develop the Symptom ""(Skill.Arg2)"""
Event_36874_ChoiceDesc2,awTs,s事件_Event_A.csv,599,Event,ChoiceDesc2,,【没有上过学】获得75黑印，感染「(Skill.Arg2)」,"[Uneducated] Receive 75 Black Sigils, but develop the Symptom ""(Skill.Arg2)"""
Event_7538_ChoiceDesc2,aBPA,s事件_Event_A.csv,602,Event,ChoiceDesc2,,【继续捂住耳朵】获得75黑印，感染「(Skill.Arg2)」,"[Keep Covering Ears] Receive 75 Black Sigils, but develop the Symptom ""(Skill.Arg2)"""
Event_91481_ChoiceDesc2,byPZ,s事件_Event_A.csv,605,Event,ChoiceDesc2,,【低头离开】获得75黑印，感染「(Skill.Arg2)」,"[Black Sigil] Receive 75 Black Sigils, but develop the Symptom ""(Skill.Arg2)"""
