ActorAttrType_18139_AttributeDesc,abog,h唤醒体属性类型_ActorAttrType_A.csv,21,ActorAttrType,AttributeDesc,,每消耗 1 算力获得 {s1} 点银钥能量。随着该属性增加，额外提高的银钥能量会逐渐衰减。,行動力を1点消費するたびに、{s1}キーエネルギーを獲得。この能力値が高くなるほど、追加ボーナスの増加効率は低下する。
AvgCommunicate_84107_Content_13,brOF,avg通讯器聊天表_AvgCommunicate_A_M.csv,529,AvgCommunicate,Content,克珀珊特,从现在起，我还会每天巡夜，确保假期期间，学院不会出现意外。,今後は毎晩、夜間巡回も行い、休暇中に大学で不測の事態が起きないよう徹底します。
AvgCommunicate_84107_Content_14,brOG,avg通讯器聊天表_AvgCommunicate_A_M.csv,530,AvgCommunicate,Content,克珀珊特,守密人，那就先聊到这里。我要去工作了。,守秘者様、お話はここまでです。私は仕事に戻らねばなりません。
AvgCommunicate_84108_Content_1,brPd,avg通讯器聊天表_AvgCommunicate_A_M.csv,1142,AvgCommunicate,Content,克珀珊特,守密人，对于上次的意外，我感到十分抱歉。,守秘者様、先日の事故については、深くお詫び申し上げます。
AvgCommunicate_84108_Option_2,brPz,avg通讯器聊天表_AvgCommunicate_A_M.csv,1143,AvgCommunicate,Option,玩家,你是指……,それは……
AvgCommunicate_84108_Content_2,brPk,avg通讯器聊天表_AvgCommunicate_A_M.csv,1143,AvgCommunicate,Content,玩家,……你是指因为失眠导致圣艾尔摩之火失控的事情？,……不眠が原因で、聖エルモの火が暴走してしまった、あの件のことかな？
AvgCommunicate_84108_Content_3,brPl,avg通讯器聊天表_AvgCommunicate_A_M.csv,1144,AvgCommunicate,Content,克珀珊特,虽然熔毁·朵尔及时打晕了我，但我仍觉得心怀歉意。,溶融・ドールがとっさに私を気絶させてくれたとはいえ、それでも申し訳ない気持ちは消えません。
AvgCommunicate_84108_Content_4,brPm,avg通讯器聊天表_AvgCommunicate_A_M.csv,1145,AvgCommunicate,Content,克珀珊特,我思考了许久，认为自己有必要受到惩罚。,長い間考えましたが、やはり私は罰を受けるべきだと判断しました。
AvgCommunicate_84108_Option_5,brPC,avg通讯器聊天表_AvgCommunicate_A_M.csv,1146,AvgCommunicate,Option,玩家,倒也不必这样。,そこまでする必要はないって。
AvgCommunicate_84108_Content_5,brPn,avg通讯器聊天表_AvgCommunicate_A_M.csv,1146,AvgCommunicate,Content,玩家,倒也不必这样。上次的意外并没有造成什么严重后果。,そこまでする必要はないって。前回の件で、何か深刻な被害が出たわけでもないし。
AvgCommunicate_84108_Content_6,brPo,avg通讯器聊天表_AvgCommunicate_A_M.csv,1147,AvgCommunicate,Content,克珀珊特,不，做错事就要受到惩罚，这是规矩。,いいえ。過ちを犯した以上、罰を受けるのが規則です。
AvgCommunicate_84108_Content_7,brPp,avg通讯器聊天表_AvgCommunicate_A_M.csv,1148,AvgCommunicate,Content,克珀珊特,我已经用手铐的一端拷住了自己，另一端还需要您的配合。,すでに手錠の片方は自分の手にかけました。もう片方は、あなた様の協力が必要です。
AvgCommunicate_84108_Option_8,brPF,avg通讯器聊天表_AvgCommunicate_A_M.csv,1149,AvgCommunicate,Option,玩家,我的配合？,私の協力？
AvgCommunicate_84108_Content_8,brPq,avg通讯器聊天表_AvgCommunicate_A_M.csv,1149,AvgCommunicate,Content,玩家,我的配合？,私の協力？
AvgCommunicate_84108_Content_9,brPr,avg通讯器聊天表_AvgCommunicate_A_M.csv,1150,AvgCommunicate,Content,克珀珊特,一般来说，船上的犯错者会被拷住双腿，在甲板曝晒数个小时。,通常、船上で過ちを犯した者は両足を拘束され、甲板で数時間さらされます。
AvgCommunicate_84108_Content_10,brPe,avg通讯器聊天表_AvgCommunicate_A_M.csv,1151,AvgCommunicate,Content,克珀珊特,但这里毕竟不是海上，所以我根据具体情况进行了调整。,ですが、ここは海ではありませんので、状況に合わせて調整を行いました。
AvgCommunicate_84108_Option_11,brPu,avg通讯器聊天表_AvgCommunicate_A_M.csv,1152,AvgCommunicate,Option,玩家,所谓的调整，不会……,その調整って、まさか……
AvgCommunicate_84108_Content_11,brPf,avg通讯器聊天表_AvgCommunicate_A_M.csv,1152,AvgCommunicate,Content,玩家,所谓的调整，不会就是将你和我拷在一起吧……,その調整って、まさか君と私を一緒に繋ぐということじゃ……
AvgCommunicate_84108_Content_12,brPg,avg通讯器聊天表_AvgCommunicate_A_M.csv,1153,AvgCommunicate,Content,克珀珊特,是的。这样一旦我出现意外，您可以第一时间察觉并阻止。,はい。そうすれば、万が一私に異変が起きても、あなた様がすぐに気づいて止めることができます。
AvgCommunicate_84108_Option_13,brPw,avg通讯器聊天表_AvgCommunicate_A_M.csv,1154,AvgCommunicate,Option,玩家,……我能拒绝吗？,……断ることは？
AvgCommunicate_84108_Content_13,brPh,avg通讯器聊天表_AvgCommunicate_A_M.csv,1154,AvgCommunicate,Content,玩家,……我能拒绝吗？,……断ることは？
AvgCommunicate_84108_Content_14,brPi,avg通讯器聊天表_AvgCommunicate_A_M.csv,1155,AvgCommunicate,Content,克珀珊特,您当然可以拒绝。,もちろん、拒否していただいても構いません。
AvgCommunicate_84108_Content_15,brPj,avg通讯器聊天表_AvgCommunicate_A_M.csv,1156,AvgCommunicate,Content,克珀珊特,但我已经到了门外。,ですが、私はもうドアの前にいます。
AvgCommunicate_84109_Content_1,brPH,avg通讯器聊天表_AvgCommunicate_A_M.csv,2689,AvgCommunicate,Content,克珀珊特,守密人，谢谢您。,守秘者様、ありがとうございます。
AvgCommunicate_84109_Option_2,brQl,avg通讯器聊天表_AvgCommunicate_A_M.csv,2690,AvgCommunicate,Option,玩家,为什么突然表示感谢？,どうして急に感謝を？
AvgCommunicate_84109_Content_2,brPS,avg通讯器聊天表_AvgCommunicate_A_M.csv,2690,AvgCommunicate,Content,玩家,为什么突然表示感谢？,どうして急に感謝を？
AvgCommunicate_84109_Content_3,brPT,avg通讯器聊天表_AvgCommunicate_A_M.csv,2691,AvgCommunicate,Content,克珀珊特,这次伦敦海事博物馆之行，我学到了很多。,今回のロンドン海事博物館への訪問で、私は多くのことを学びました。
AvgCommunicate_84109_Content_4,brPU,avg通讯器聊天表_AvgCommunicate_A_M.csv,2692,AvgCommunicate,Content,克珀珊特,那些展示的航海钟、手绘海图和航行日志残页，都有助于领航水平的提升。,展示されていたマリンクロノメーターや手書きの海図、航海日誌の断片は、どれも航海術の向上に役立つものばかりでした。
AvgCommunicate_84109_Content_5,brPV,avg通讯器聊天表_AvgCommunicate_A_M.csv,2693,AvgCommunicate,Content,克珀珊特,我会将这些都用到下次航行里，确保将所有人都安全带回海港。,これらを次回の航海に活かし、全員が無事に港へ帰れるよう努めます。
AvgCommunicate_84109_Option_6,brQp,avg通讯器聊天表_AvgCommunicate_A_M.csv,2694,AvgCommunicate,Option,玩家,……？,……？
AvgCommunicate_84109_Content_6,brPW,avg通讯器聊天表_AvgCommunicate_A_M.csv,2694,AvgCommunicate,Content,玩家,我记得那天去伦敦海事博物馆的目的是「放松」……,あの日、ロンドン海事博物館に行った目的は「気晴らし」だったはずだけど……
AvgCommunicate_84109_Content_7,brPX,avg通讯器聊天表_AvgCommunicate_A_M.csv,2695,AvgCommunicate,Content,玩家,算了，你开心就好。,まあいいや、君が楽しかったなら。
AvgCommunicate_84109_Content_8,brPY,avg通讯器聊天表_AvgCommunicate_A_M.csv,2696,AvgCommunicate,Content,克珀珊特,是的，我也很开心，并且希望日后能经常和您出去放松。,はい、とても楽しかったです。\n今後もあなた様と一緒に気晴らしができたらと思います。
AvgCommunicate_84109_Option_9,brQs,avg通讯器聊天表_AvgCommunicate_A_M.csv,2697,AvgCommunicate,Option,玩家,没问题,もちろん。
AvgCommunicate_84109_Content_9,brPZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2697,AvgCommunicate,Content,玩家,没问题，我这就看看伦敦还有哪些海事博物馆可以参观。,もちろん。ロンドンで見学できそうな海事博物館が他にないか、すぐに調べてみるよ。
AvgCommunicate_84109_Content_10,brPI,avg通讯器聊天表_AvgCommunicate_A_M.csv,2698,AvgCommunicate,Content,克珀珊特,……,……？
AvgCommunicate_84109_Content_11,brPJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2699,AvgCommunicate,Content,克珀珊特,其实……,実は……
AvgCommunicate_84109_Option_12,brQd,avg通讯器聊天表_AvgCommunicate_A_M.csv,2700,AvgCommunicate,Option,玩家,其实？,実は？
AvgCommunicate_84109_Content_12,brPK,avg通讯器聊天表_AvgCommunicate_A_M.csv,2700,AvgCommunicate,Content,玩家,其实？怎么说话突然吞吞吐吐了，这可不像你。,"実は？
急に口ごもるなんて、君らしくないね。"
AvgCommunicate_84109_Content_13,brPL,avg通讯器聊天表_AvgCommunicate_A_M.csv,2701,AvgCommunicate,Content,克珀珊特,其实不用参观海事博物馆，就只是「放松」一下也可以的。,……海事博物館の見学でなくても、ただ「気晴らし」をするだけでも構わないのです。
AvgCommunicate_84109_Content_14,brPM,avg通讯器聊天表_AvgCommunicate_A_M.csv,2702,AvgCommunicate,Content,克珀珊特,我虽然无法理解您口中所说的、正常的「放松」，但和您在一起时，我的确感觉到平和。,あなた様の仰る、一般的な「気晴らし」というものはまだ理解しきれていませんが、あなた様と共にいる時、私は確かに安らぎを感じます。
AvgCommunicate_84109_Content_15,brPN,avg通讯器聊天表_AvgCommunicate_A_M.csv,2703,AvgCommunicate,Content,克珀珊特,就好像身处于平静海洋，没有风暴，也不会遇到风暴，只需要按照航线航行，就能安全到达目的地。,それはまるで、凪いだ海の上にいるようで、嵐もなく、嵐に遭遇することもなく、ただ航路に従って進むだけで、安全に目的地に辿り着ける——そんな感覚です。
AvgCommunicate_84109_Option_16,brQh,avg通讯器聊天表_AvgCommunicate_A_M.csv,2704,AvgCommunicate,Option,玩家,……好难理解的比喻,……難しい例えだね。
AvgCommunicate_84109_Content_16,brPO,avg通讯器聊天表_AvgCommunicate_A_M.csv,2704,AvgCommunicate,Content,玩家,……虽然这个比喻有些难理解，但我大概明白你的意思了。,……難しい例えだけど、言いたいことはなんとなくわかったよ。
AvgCommunicate_84109_Content_17,brPP,avg通讯器聊天表_AvgCommunicate_A_M.csv,2705,AvgCommunicate,Content,玩家,以后，我们可以多去不同的地方看看。这个世界很大，除了海洋，还有很多美好的风景。,これからは、もっと色々な場所へ行ってみよう。この世界は広いんだ。海以外にも、美しい景色はたくさんあるから。
AvgCommunicate_84109_Content_18,brPQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2706,AvgCommunicate,Content,克珀珊特,……我明白了。我会去尝试的。,……分かりました。見に行ってみます。
AvgCommunicate_84109_Content_19,brPR,avg通讯器聊天表_AvgCommunicate_A_M.csv,2707,AvgCommunicate,Content,克珀珊特,看看……与海洋不同的美好风景。,海とは異なる……美しい景色というものを。
AvgDialog_35993_Content_5,akmq,avgV1.3「24」大型支线_AvgDialog_C_M.csv,12,AvgDialog,Content,,"是的——
就在那片白色山脉之下，幽深的洞穴深处，栖息着一切不净的<Red:源头>。",そう——\n白き山脈の下、深い洞窟の奥に、あらゆる不浄の<Red:源>が棲むのだ。
AvgDialog_35993_Content_9,akmO,avgV1.3「24」大型支线_AvgDialog_C_M.csv,16,AvgDialog,Content,朵尔唤醒体,这份所谓目击报告，仅能证明作案的是非人生物，不能指向任何明确的个体。,この目撃報告と称するものは、犯行が人間のものでないと示すだけ。\n特定の個体を指し示すものではないようね。
AvgDialog_35993_Content_13,aklC,avgV1.3「24」大型支线_AvgDialog_C_M.csv,20,AvgDialog,Content,朵尔唤醒体,只是稍微质疑一下目击报告的可靠性，诸位未免有些反应过度。,目撃証言の信憑性に少々疑義を呈しただけよ。\n過剰反応では？
AvgDialog_35993_Content_22,aklM,avgV1.3「24」大型支线_AvgDialog_C_M.csv,29,AvgDialog,Content,,一下、两下、三下……我把他那张顶好看的脸砸得粉碎，连骨头都不剩。,一回、二回、三回……\n彼の美しい顔を粉々に砕き、骨も残さなかった。
AvgDialog_35993_Content_36,akmb,avgV1.3「24」大型支线_AvgDialog_C_M.csv,43,AvgDialog,Content,朵尔唤醒体,最后的结论是：七天。我们只有七天时间来查清楚真相。,最終的な結論は七日間。\n真相解明に与えられた猶予は七日間だけ。
AvgDialog_35993_Content_38,akmd,avgV1.3「24」大型支线_AvgDialog_C_M.csv,45,AvgDialog,Content,温柯尔,档案封存好几个月了，天知道他们从哪里翻出来的。再说了，在东区这样鱼龙混杂的地方调查简直是做梦……,記憶は何か月も封印されてたのに、どこから掘り返したのか。\nそもそも東区みたいな魑魅魍魎の巣で捜査なんて……
AvgDialog_35993_Content_39,akme,avgV1.3「24」大型支线_AvgDialog_C_M.csv,46,AvgDialog,Content,温柯尔,所以，我们决定让%player%进入你的人工密境调查，为此需要你小小地配合我们一下……,だから、%player%に君の人工密境へ入ってもらって調査することにした。\nそのために、ちょっと協力してほしい……
AvgDialog_35993_Content_46,akmm,avgV1.3「24」大型支线_AvgDialog_C_M.csv,53,AvgDialog,Content,温柯尔,"放心吧，我就是为此而来的。
一针下去，你那颗混乱的脑瓜子就能清明不少……",大丈夫、今日はそのために来たんだ。\n一針で混乱した頭もスッキリするはず……
AvgDialog_35993_Content_48,akmo,avgV1.3「24」大型支线_AvgDialog_C_M.csv,55,AvgDialog,Content,温柯尔,或者像上回那样遇到「N」这样可怕的存在——<Big:啊！！>,前みたいに「N」のような恐ろしい存在に出くわしたら——\n<Big:ああ！！>
AvgDialog_35993_Content_51,akms,avgV1.3「24」大型支线_AvgDialog_C_M.csv,58,AvgDialog,Content,朵尔,24小姐需要镇静，不是你的焦虑和头发。温柯尔，扎完针请速速离开。,24には静養が必要なの。あなたの不安と抜け毛ではないわ。\nウインクル、注射が済んだら速やかに退出を。
AvgDialog_35993_Content_55,akmw,avgV1.3「24」大型支线_AvgDialog_C_M.csv,62,AvgDialog,Content,朵尔唤醒体,"已经在人工密境通道了。
放心吧，这次我们设置的时间只有半小时，不会逗留太久。",すで人工密境の入り口にいる。\n安心して、今回は三十分だけで、長く滞在しないわ。
AvgDialog_35993_Content_57,akmy,avgV1.3「24」大型支线_AvgDialog_C_M.csv,64,AvgDialog,Content,朵尔唤醒体,鉴于密境归属者的精神状况不太……稳定，密境里会出现什么东西，我们谁也无法想象。,密境の所有者の精神状態が不安定だから……\n密境で何が出現するか、誰にも予測できない。
AvgDialog_35994_Content_5,aknH,avgV1.3「24」大型支线_AvgDialog_C_M.csv,81,AvgDialog,Content,,粘稠的血腥气萦绕诊所，到处是散落在地的医用器材、书籍和病例。,粘つくような血の匂いが診療所全体に漂い、床には医療道具や書類、カルテが散乱している。
AvgDialog_35994_Content_6,aknS,avgV1.3「24」大型支线_AvgDialog_C_M.csv,82,AvgDialog,Content,,伯纳德医生的尸体瘫倒在墙边。他的头部早已残缺，再也无法辨清面容。,バーナード医師の死体は壁際に倒れていた。\n頭部は無残に潰れ、もはや顔の原型をとどめていない。
AvgDialog_35994_Content_7,akod,avgV1.3「24」大型支线_AvgDialog_C_M.csv,83,AvgDialog,Content,玩家,“30岁男性，身高6英尺，曾以优异的成绩毕业于伦蒂尼恩大学医学院……”,「三十歳男性、身長六フィート。\nロンディニウム大学医学部を優秀な成績で卒業……」
AvgDialog_35994_Content_16,akmW,avgV1.3「24」大型支线_AvgDialog_C_M.csv,92,AvgDialog,Content,密境梅森,放开我……哎呀，你是谁？你和<Yellow:她>是一伙的吗？,放して……あら、あなたは誰？\nあなたは<Yellow:彼女>の仲間？
AvgDialog_35994_Content_18,akmY,avgV1.3「24」大型支线_AvgDialog_C_M.csv,94,AvgDialog,Content,玩家,<Gray:想起来了，杀人案发生在梅森小姐进入蜡像馆前，那时候我们还未相识……>,<Gray:そうだ、事件はメイソンさんが蝋人形館に入る前に起きた。\nつまり、まだこの時点では彼女と私は出会っていない……>
AvgDialog_35994_Content_42,aknz,avgV1.3「24」大型支线_AvgDialog_C_M.csv,118,AvgDialog,Content,玩家,怎么回事，这里怎么会有另一个你？,どういうこと？\nなぜ、ここにもう一人の君がいるの？
AvgDialog_35994_Content_45,aknC,avgV1.3「24」大型支线_AvgDialog_C_M.csv,121,AvgDialog,Content,密境梅森,原来是她杀的？！不，不仅如此……还有冬眠的蛇……,彼女が殺した！？\nいえ、それだけじゃない……冬眠していた蛇たちが……
AvgDialog_35994_Content_48,aknF,avgV1.3「24」大型支线_AvgDialog_C_M.csv,124,AvgDialog,Content,密境梅森,说？重要的不是说了什么，是做了什么！这可是@2先生教我的……,言う？大事なのは何を言ったかではなく、何をしたかよ！\nこれは@2さんが教えてくれたの……
AvgDialog_35994_Content_57,aknP,avgV1.3「24」大型支线_AvgDialog_C_M.csv,133,AvgDialog,Content,朵尔唤醒体,不同的人格之间彼此隔绝，却又互相交融。你甚至会在里面看到很多24。,人格同士は互いに隔絶していながら、同時に混ざり合っている。\n中に入れば、何人もの24に出会うことになるかもしれない。
AvgDialog_35994_Content_58,aknQ,avgV1.3「24」大型支线_AvgDialog_C_M.csv,134,AvgDialog,Content,朵尔唤醒体,所有的一切，人物、地点、时间……或许都不是真的。,すべての出来事、人物、場所、時間……\nそのどれもが偽りの可能性がある。
AvgDialog_35994_Content_60,aknT,avgV1.3「24」大型支线_AvgDialog_C_M.csv,136,AvgDialog,Content,朵尔唤醒体,当然。哪怕里面只有百分之一的真实，我们也要抓住它。,もちろんよ。\nたとえ1%でも真実が含まれるなら、そこに手を伸ばす必要がある。
AvgDialog_35994_Content_61,aknU,avgV1.3「24」大型支线_AvgDialog_C_M.csv,137,AvgDialog,Content,朵尔唤醒体,24小姐绝不是滥杀无辜的坏人，这点我们心知肚明。,24は無差別に人を殺すような悪人じゃない。\nそれは私たちもわかっているわ。
AvgDialog_35994_Content_62,aknV,avgV1.3「24」大型支线_AvgDialog_C_M.csv,138,AvgDialog,Content,玩家,都不是真的……冷静，%player%。先明确调查目标。,全部が嘘、か……落ち着け、%player%。\nまず調査目標を明確にしよう。
AvgDialog_35994_Content_63,aknW,avgV1.3「24」大型支线_AvgDialog_C_M.csv,139,AvgDialog,Content,,你拉过梅森的手指。上面十分干净，没有任何受伤或是搏斗的痕迹。,あなたはメイソンの手を取った。\nその手は驚くほど奇麗で、傷も争った痕跡もなかった。
AvgDialog_35994_Content_65,aknY,avgV1.3「24」大型支线_AvgDialog_C_M.csv,141,AvgDialog,Content,密境梅森,他……他给我治病，最近我总觉得身上痒痒的，很奇怪……,彼が……私を治療してくれてたの。\n最近、体中がむずむずして……変だったの……
AvgDialog_35994_Content_68,akob,avgV1.3「24」大型支线_AvgDialog_C_M.csv,144,AvgDialog,Content,玩家,他替你治疗。然后呢，你们吵起来了？,彼が治療を？\nそれで……口論になったとか？
AvgDialog_35994_Content_74,akoi,avgV1.3「24」大型支线_AvgDialog_C_M.csv,150,AvgDialog,Content,玩家,密境马上要结束了，这次的调查先到这里吧。,そろそろ密境の制限時間だ。\n今回の調査はここまでにしておこう。
AvgDialog_35994_Content_75,akoj,avgV1.3「24」大型支线_AvgDialog_C_M.csv,151,AvgDialog,Content,玩家,朵尔小姐恐怕多虑了，这个密境比索蕾尔夫人的简单多了……,きっと、ドールの考えすぎじゃないかな。\nソレール夫人のときよりずっと単純だよ……
AvgDialog_35994_Content_77,akol,avgV1.3「24」大型支线_AvgDialog_C_M.csv,153,AvgDialog,Content,玩家,梅森小姐，你得的可不是普通的病，不是什么拿了漂亮文凭的大夫就能医治的。,メイソンさん、あなたの病気は普通のものじゃない。\n立派な学位を持った医者でも直せない。
AvgDialog_35994_Content_86,akov,avgV1.3「24」大型支线_AvgDialog_C_M.csv,162,AvgDialog,Content,,"时间来到晚上9点30。
冷风呼啸而过，窗外乌鸦传来一两声寂寥的鸣叫。",時間は午後9時30分。\n冷たい風が吹き抜け、窓の外ではカラスが寂しげに鳴いていた。
AvgDialog_35994_Content_87,akow,avgV1.3「24」大型支线_AvgDialog_C_M.csv,163,AvgDialog,Content,,你依然稳稳地站在诊所内，旁边跪坐着表情懵懂的梅森。,あなたはまだ診療所の中に立っていた。\n隣には困惑した表情のメイソンが座っている。
AvgDialog_35994_Content_88,akox,avgV1.3「24」大型支线_AvgDialog_C_M.csv,164,AvgDialog,Content,密境梅森,咦……守密人%sirormadam%，您又不打算离开了吗？,あれ……守秘者%sirormadam%は、まだ帰らないの？
AvgDialog_35994_Content_94,akoE,avgV1.3「24」大型支线_AvgDialog_C_M.csv,170,AvgDialog,Content,,"<Yellow:■调查结果>

——守密人失联。",<Yellow:■調査結果>\n\n——守秘者、消息不明。
AvgDialog_35984_Content_12,akbp,avgV1.3「24」大型支线_AvgDialog_C_M.csv,182,AvgDialog,Content,潘狄娅,每天待在蜡像馆无聊得快发疯了，人家连唱歌的自由都没有了吗？！,毎日蝋人形館にこもりきりで、退屈で死にそうなのよ！\n歌うくらいの自由も許されないの！？
AvgDialog_35984_Content_13,akbq,avgV1.3「24」大型支线_AvgDialog_C_M.csv,183,AvgDialog,Content,乔治,某人接着唱呀，乔治也会接着骂的，嘻嘻。,誰かさんが歌い続けるなら、ジョージも悪口を言い続けてやる。\nハハ。
AvgDialog_35984_Content_14,akbr,avgV1.3「24」大型支线_AvgDialog_C_M.csv,184,AvgDialog,Content,潘狄娅,罗杰斯大人，管管你心爱的小宠物吧，他已经变成一个货真价实的恶魔了！,ロジャーズさま、あなたの可愛いペットを何とかしてください！\nもう本物の悪魔になりかけてるわ！
AvgDialog_35984_Content_20,akby,avgV1.3「24」大型支线_AvgDialog_C_M.csv,190,AvgDialog,Content,乔治,"又是桥牌，乔治才不喜欢玩桥牌。
再说了，吸血鬼奴隶不在，我们还差一个——",またそれ？ジョージは、ブリッジ嫌い。\nそれに、吸血鬼の奴隷がいないと、まだ一人足りない——
AvgDialog_35984_Content_21,akbz,avgV1.3「24」大型支线_AvgDialog_C_M.csv,191,AvgDialog,Content,,潘狄娅指了指角落。无人关心的橱柜旁，「24」正在擦拭里面的展品。,パンディアは部屋の隅を指さした。\n無人のキャビネットのそばで「24」が展示品を磨いていた。
AvgDialog_35984_Content_25,akbD,avgV1.3「24」大型支线_AvgDialog_C_M.csv,195,AvgDialog,Content,乔治,这家伙怎么还戴了副眼镜，东区的贫民想假装自己很有学识吗，羞死人了！,こいつ、なんでメガネなんかかけてるんだ。\n東区の貧民が知的ぶってるとか笑えるな！
AvgDialog_35984_Content_29,akbH,avgV1.3「24」大型支线_AvgDialog_C_M.csv,199,AvgDialog,Content,潘狄娅,我忽然觉得你很有潜力，要不咱俩一队吧！,急に頼もしく見えてきたわ！\nねえ、一緒にチームを組みましょ？
AvgDialog_35984_Content_33,akbM,avgV1.3「24」大型支线_AvgDialog_C_M.csv,203,AvgDialog,Content,学者24,您的蜡像群组不是还需要一个模特吗？我可以做您的模特。,あなたの蝋人形の新作には、まだモデルが必要では？\n私が、そのモデルになります。
AvgDialog_35984_Content_38,akbR,avgV1.3「24」大型支线_AvgDialog_C_M.csv,208,AvgDialog,Content,罗杰斯空,当然可以。24小姐，你的骨骼线条流畅且不失美感，完全可以胜任这一角色。,もちろんいいよ、24さん。あなたの骨格は美しく、線が滑らかだ。\n完璧にこの役をこなせるよ。
AvgDialog_35984_Content_43,akbX,avgV1.3「24」大型支线_AvgDialog_C_M.csv,213,AvgDialog,Content,潘狄娅,哇哦，大满贯！24，和你组队真是太幸运了，啦啦啦~,わ～お、グランドスラムよ！\n24、あなたと組めて最高！ラララ～
AvgDialog_35984_Content_46,akca,avgV1.3「24」大型支线_AvgDialog_C_M.csv,216,AvgDialog,Content,罗杰斯空,想不到咱们这、这里竟然有个隐藏的高手，真令人刮目相看。,まさか、こ、ここに隠れた名人がいたとは、驚いたよ。
AvgDialog_35984_Content_47,akcb,avgV1.3「24」大型支线_AvgDialog_C_M.csv,217,AvgDialog,Content,乔治,怎么可能……这家伙刚才连规则都搞不清楚！,あり得ない……\nこいつ、さっきまでルールすらわかってなかったのに！
